__Field,__Tooltip,EnemyBalance
__Type,,EnemyBalanceSO
__Guid,,9199ae7a21bc4dc6a804e2275068cbd5
__Path,,Assets/5.Data/ScriptableObject/Enemy/EnemyBalance.asset
m_enemyId,테이블과 런타임에서 적 종류를 식별하는 고정 ID입니다. 에셋 이름과 별도로 유지합니다.,enemy.basic
m_maxHp,적의 최대 HP입니다. 최소값은 1입니다.,30
m_wanderRadius,스폰 위치를 기준으로 배회 목적지를 고르는 반경(m)입니다.,8
m_wanderInterval,배회 목적지를 다시 선택하는 기본 주기(초)입니다.,3
m_wanderSpeed,배회 상태의 이동 속도(m/s)입니다.,2
m_chaseSpeed,추적 상태의 이동 속도(m/s)입니다. 플레이어 스프린트 속도(6)와 같으면 달리는 플레이어를 놓치지 않고 붙습니다.,6
m_rotationSpeed,대상을 향해 몸을 돌리는 최대 각속도(도/초)입니다. 200이면 180도 도는 데 약 0.9초가 걸립니다. 값이 클수록 고개가 튕기듯 돌아갑니다.,200
m_idleTypeMin,대기 동작 혼합 비율의 최솟값입니다. 개체마다 이 범위에서 한 번 뽑아 고정합니다.,0
m_idleTypeMax,대기 동작 혼합 비율의 최댓값입니다. 최솟값과 같으면 모든 개체가 같은 대기 동작을 씁니다.,1
m_perceptionInterval,시야 판정을 다시 수행하는 주기(초)입니다. 최소값은 0.01초입니다.,0.25
m_sightRange,시야로 대상을 감지할 수 있는 최대 거리(m)입니다.,12
m_sightAngle,적 전방을 기준으로 사용하는 전체 시야각(도)입니다. 0~360 범위입니다.,120
m_alertDuration,대상을 처음 발견한 뒤 추격을 시작하기 전 경계 시간(초)입니다.,0.5
m_loseSightDelay,시야에서 벗어난 뒤에도 대상의 실시간 위치를 계속 아는 시간(초)입니다. 끝나면 마지막 확인 위치만 남습니다.,2
m_noiseHearingMultiplier,"소음의 도달 거리에 곱하는 청각 배수입니다. 1이면 도달 거리 그대로, 1보다 크면 더 멀리 듣습니다. 기획 미확정 - 임시값입니다.",1
m_noiseAwarenessThreshold,소음 인지 게이지가 이 값에 닿으면 소음 위치를 추적하기 시작합니다. 낮으면 금방 알아챕니다. 기획 미확정 - 임시값입니다.,1
m_noiseAwarenessDecayPerSecond,소음 인지 게이지가 초당 줄어드는 양입니다. 소음이 끊기면 이 속도로 빠져 결국 경계를 풉니다. 걷기 소음의 초당 증가량보다 크면 걸어서는 절대 들키지 않습니다. 기획 미확정 - 임시값입니다.,0.15
m_noiseChaseSpeed,소음 위치로 이동할 때의 속도(m/s)입니다. 기획 미확정 - 임시값입니다.,2
m_noiseArriveDistance,소음 위치에 도착했다고 볼 거리(m)입니다. 기획 미확정 - 임시값입니다.,1.5
m_noiseSearchDuration,소음 위치 도착 후 주변을 수색하는 전체 시간(초)입니다. 기획 미확정 - 임시값입니다.,8
m_noiseSearchRadius,소음 수색 중 배회할 반경(m)입니다. 기획 미확정 - 임시값입니다.,5
m_howlRadius,하울링이 전달되는 고정 반경(m)입니다. 벽이나 엄폐물은 판정에 쓰지 않습니다. 기획 미확정 - 임시값입니다.,25
m_howlBroadcastTime,하울링 시작 후 실제로 전파가 확정되는 시점(초)입니다. 이 시점 전에 사망하면 전파가 취소됩니다. 클립 이벤트가 오면 그쪽이 우선합니다. 기획 미확정 - 임시값입니다.,1.2
m_howlDuration,하울링 행동 전체 길이(초)입니다. 끝나면 다음 행동을 고릅니다. 기획 미확정 - 임시값입니다.,3
m_targetReevaluateInterval,현재 대상을 다시 고를지 판단하는 주기(초)입니다. 이 주기 자체가 대상의 최소 유지 시간이 됩니다.,1
m_targetSwitchPathDistanceDelta,새 후보가 현재 대상보다 이만큼(m) 더 가까워야 대상을 바꿉니다. 경계에서 대상이 떨리는 것을 막습니다.,2
m_hitStunDuration,"경직 상태에서 이동·회전·상태 전환을 모두 잠그는 시간(초)입니다. 경직 클립(Stagger_Large01)의 길이 3초와 맞춘 값이며, 이보다 짧으면 클립이 중간에 끊겨 뒤로 밀리다 만 자세로 복귀합니다.",3
m_hitStunCooldown,경직이 끝난 뒤 다시 경직될 수 있기까지의 최소 간격(초)입니다. 연속 피격으로 경직이 무한히 이어지는 것을 막습니다.,0.2
m_staggerThreshold,경직력 누적치가 이 값에 닿으면 경직이 발동합니다. 낮을수록 쉽게 경직됩니다. 무기의 저지력이 여기에 누적됩니다. [임시] 경직 동작 확인용으로 라이플 2발(0.5x2=1.0)에 터지도록 낮춰 둔 값입니다.,0.9
m_staggerDecayPerSecond,경직력 누적치가 초당 줄어드는 양입니다. 사격이 끊기면 이 속도로 빠집니다. 무기 연사의 초당 저지력보다 크면 그 무기로는 경직시킬 수 없습니다. [임시] 연사 속도와 무관하게 정확히 2발에 터지도록 0으로 꺼 둔 값입니다.,0
m_attackRange,공격을 시작할 수 있는 대상과의 최대 거리(m)입니다. 실제 판정 범위와는 별개의 시작 조건입니다.,1.8
m_attackStartAngle,공격을 시작할 수 있는 정면 기준 허용 방향각(도)입니다. 이 밖의 대상에게는 공격을 시작하지 않습니다.,70
m_attackDirectionLockTime,공격 시작 후 이 시점(초)에 방향을 확정합니다. 이후에는 대상을 따라 회전하지 않습니다.,0.25
m_attackImpactTime,공격 시작 후 이 시점(초)에 공간 판정을 수행합니다. 방향 고정 시점보다 뒤여야 합니다.,0.45
