__Field,__Tooltip,PlayerTest_PlayerCommonBalanceSO
__Type,,PlayerCommonBalanceSO
__Guid,,9eb8d1c6b58418f4dbbb885a2d34b9ff
__Path,,Assets/5.Data/ScriptableObject/Player/PlayerTest_PlayerCommonBalanceSO.asset
ThirdPersonController_m_moveSpeed,캐릭터의 기본 이동 속도입니다. 단위는 m/s입니다. (0 이상),2
ThirdPersonController_m_sprintSpeed,캐릭터의 전력질주 속도입니다. 단위는 m/s입니다. (0 이상),6
ThirdPersonController_m_rotationSmoothTime,캐릭터가 이동 방향을 바라보도록 회전하는 데 걸리는 보간 시간입니다. (범위 0~0.3),0.12
ThirdPersonController_m_speedChangeRate,가속과 감속 반응 속도입니다. (0 이상),10
ThirdPersonController_m_jumpHeight,캐릭터가 점프할 수 있는 높이입니다. (0 이상),1.2
ThirdPersonController_m_gravity,캐릭터에 적용할 중력 값입니다. Unity 기본 중력은 -9.81입니다.,-22
ThirdPersonController_m_jumpTimeout,다음 점프가 가능해지기까지 필요한 대기 시간입니다. 0이면 즉시 다시 점프할 수 있습니다. (0 이상),0.15
ThirdPersonController_m_fallTimeout,낙하 상태로 전환되기 전까지의 대기 시간입니다. 계단 이동 같은 작은 단차 처리에 유용합니다. (0 이상),0.07
ThirdPersonController_m_groundedOffset,지면 감지 위치의 Y축 오프셋입니다. 울퉁불퉁한 지형에서 보정용으로 사용합니다.,-0.14
ThirdPersonController_m_groundedRadius,지면 감지 구체의 반지름입니다. CharacterController 반지름과 맞추는 것이 좋습니다. (0 이상),0.28
ThirdPersonController_m_topClamp,카메라를 위로 회전할 수 있는 최대 각도입니다.,70
ThirdPersonController_m_bottomClamp,카메라를 아래로 회전할 수 있는 최대 각도입니다.,-30
ThirdPersonController_m_cameraAngleOverride,카메라 각도에 추가로 적용할 보정 각도입니다. 고정 카메라 튜닝에 사용할 수 있습니다.,0
ThirdPersonController_m_recoilRecoverySpeed,반동 오프셋이 0(원래 조준)으로 복귀하는 속도입니다. 클수록 빠르게 제자리로 돌아옵니다. (0 이상),8
ThirdPersonController_m_recoilRecoveryDelay,"발사 입력을 놓은 뒤 반동 회복을 시작하기까지의 유예 시간입니다. 입력을 유지하는 동안에는 발수·누적량과 무관하게 회복하지 않습니다. 0이면 버튼을 놓은 직후부터 복귀합니다. (0 이상)",0.15
ThirdPersonController_m_recoilOnsetSpeed,반동 온셋 보간 속도입니다. 클수록 더 빠르게(앞쪽으로 더 쏠려) 목표에 도달합니다. Recoil Onset Interp가 켜져 있을 때만 적용됩니다. (0 이상),35
ThirdPersonController_m_recoilMaxPitch,세로(피치) 반동 회복분 오프셋의 고정 상한 각도(도)입니다. Use Pitch Offset Cap이 켜져 있을 때만 적용됩니다. (0 이상),4
ThirdPersonController_m_recoilMaxYaw,좌우(요) 반동 회복분 오프셋의 고정 상한 각도(도)입니다. Use Yaw Offset Cap이 켜져 있을 때만 적용됩니다(회복분에만). (0 이상),3
ThirdPersonController_m_pitchRecoveryRatio,"세로(pitch) 반동 회복 비율입니다. 1=자동(멈추면 완전 회복), 0=하드(조준에 영구 반영·안 돌아옴 → 상하 조준 한계까지 상승), 중간=부분(일부만 회복). 영구분은 상하 조준 한계로 제한됩니다. (범위 0~1)",1
ThirdPersonController_m_yawRecoveryRatio,"좌우(yaw) 반동 회복 비율입니다. 1=자동(완전 회복), 0=하드(영구 반영·안 돌아옴 → 플레이어가 되잡음, Strinova식), 중간=부분. 하드는 Alternate 패턴과 궁합이 좋습니다. (범위 0~1)",1
ThirdPersonController_m_pitchRecoilEnvelopeDuration,세로 반동 곡선 하나의 길이(초)입니다. 정규화 시간 0~1을 재는 기준이 됩니다. 연사 간격보다 길면 발끼리 겹쳐 누적됩니다. (0 이상),0.32
ThirdPersonController_m_yawRecoilEnvelopeDuration,좌우 반동 곡선 하나의 길이(초)입니다. (0 이상),0.3
ThirdPersonController_m_footstepAudioVolume,발소리와 착지음의 재생 음량입니다. (범위 0~1),0.5
AimController_m_lookDistance,"지향점(LookPoint)을 카메라 전방 이 거리에 항상 둡니다. 레이캐스트와 무관하게 늘 먼 지점을 바라보며, 무기 히트스캔 사거리보다 작으면 사거리만큼으로 보정됩니다. (0 이상)",20
AimController_m_hipfireHoldDuration,힙파이어 사격 후 전투 자세를 유지하는 시간(초)입니다. 0이면 사격을 멈추는 즉시 해제합니다. (0 이상),0
AimController_m_adsFov,ADS(조준) 시 백뷰 카메라 FOV입니다. 값이 작을수록 더 확대됩니다. (1 이상),20
AimController_m_hipfireFov,힙파이어(비조준) 시 백뷰 카메라 FOV입니다. 줌 없는 기본 시야 값(기본 30)입니다. (1 이상),30
AimController_m_zoomLerpSpeed,ADS↔힙파이어 전환 시 FOV 보간 속도입니다. 매우 크게 두면 즉시 전환에 가까워집니다. (0 이상),10
AimController_m_visualKickRecoverShots,"PerShotReset일 때, 시각 킥이 거의(~95%) 회복되는 데 걸리는 발수(무기 ShootDelay 기준)입니다. 1이면 다음 발 전에 거의 리셋됩니다. (0.01 이상)",1
AimController_m_visualKickMaxRoll,누적될 수 있는 카메라 롤(Dutch) 상한(도)입니다. 유지 없이 발당 순간 펀치 후 회복합니다. (0 이상),3
AimController_m_visualKickMaxFovPunch,누적될 수 있는 FOV 펀치 상한(도)입니다. (0 이상),1.5
AimController_m_rollKickEnvelopeDuration,카메라 롤 킥 곡선 하나의 길이(초)입니다. 정규화 시간 0~1을 재는 기준입니다. (0 이상),0.35
AimController_m_hipfireFovPunchEnvelopeDuration,힙파이어 FOV 펀치 곡선 하나의 길이(초)입니다. (0 이상),0.25
